Program Name,Department,GPA,GRE Score,TOEFL Score,Admission Accepted
Computer Science,Computer Science,3.8,313,102,Yes
Health Information Technology,Information Systems,3.65,329,94,Yes
Engineering Management,Engineering Management,3.62,335,86,Yes
Electrical Engineering,Electrical Engineering,3.91,314,116,No
Human-Centered Computing,Information Systems,3.71,291,104,Yes
Cybersecurity,Information Systems,3.5,315,98,Yes
Engineering Management,Engineering Management,3.15,327,87,Yes
Environmental Engineering,Civil & Environmental Engineering,3.95,314,113,No
Environmental Engineering,Civil & Environmental Engineering,3.57,296,118,Yes
Data Science,Information Systems,3.8,323,109,Yes
Human-Centered Computing,Information Systems,3.69,303,109,Yes
Environmental Engineering,Civil & Environmental Engineering,3.8,318,115,No
Human-Centered Computing,Information Systems,3.86,320,112,Yes
Data Science,Information Systems,3.84,302,105,Yes
Electrical Engineering,Electrical Engineering,3.2,318,102,Yes
Health Information Technology,Information Systems,3.62,299,105,Yes
Environmental Engineering,Civil & Environmental Engineering,3.71,323,105,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.24,303,118,Yes
Engineering Management,Engineering Management,3.23,298,86,No
Human-Centered Computing,Information Systems,3.52,320,110,No
Data Science,Information Systems,3.44,325,101,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.27,338,84,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.65,335,86,No
Engineering Management,Engineering Management,3.61,293,93,Yes
Electrical Engineering,Electrical Engineering,3.27,339,96,Yes
Health Information Technology,Information Systems,3.61,340,111,Yes
Environmental Engineering,Civil & Environmental Engineering,3.82,294,109,Yes
Data Science,Information Systems,3.36,329,119,Yes
Data Science,Information Systems,3.33,335,103,No
Engineering Management,Engineering Management,3.28,291,98,Yes
Data Science,Information Systems,3.79,320,111,Yes
Cybersecurity,Information Systems,3.01,302,99,Yes
Engineering Management,Engineering Management,3.26,339,102,Yes
Health Information Technology,Information Systems,3.39,333,111,Yes
Health Information Technology,Information Systems,3.52,300,118,Yes
Human-Centered Computing,Information Systems,3.8,297,103,Yes
Engineering Management,Engineering Management,3.91,310,105,Yes
Cybersecurity,Information Systems,3.11,329,91,Yes
Engineering Management,Engineering Management,3.45,297,98,Yes
Environmental Engineering,Civil & Environmental Engineering,3.5,302,119,Yes
Cybersecurity,Information Systems,3.31,323,86,Yes
Electrical Engineering,Electrical Engineering,3.4,291,119,No
Engineering Management,Engineering Management,3.44,310,90,Yes
Health Information Technology,Information Systems,3.15,307,91,No
Health Information Technology,Information Systems,3.85,306,107,Yes
Health Information Technology,Information Systems,3.1,295,100,Yes
Health Information Technology,Information Systems,3.25,328,118,Yes
Environmental Engineering,Civil & Environmental Engineering,3.65,297,100,No
Data Science,Information Systems,3.23,337,100,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.53,319,118,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.89,325,96,Yes
Data Science,Information Systems,3.27,320,116,Yes
Health Information Technology,Information Systems,3.91,301,97,Yes
Electrical Engineering,Electrical Engineering,3.37,317,94,Yes
Environmental Engineering,Civil & Environmental Engineering,3.63,309,119,Yes
Cybersecurity,Information Systems,3.16,296,93,No
Environmental Engineering,Civil & Environmental Engineering,3.72,305,100,Yes
Engineering Management,Engineering Management,3.44,315,88,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.04,300,83,No
Engineering Management,Engineering Management,3.05,325,104,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.64,314,89,No
Computer Engineering,Computer Science & Electrical Engineering,3.5,327,104,No
Computer Science,Computer Science,3.95,301,116,Yes
Computer Science,Computer Science,3.95,314,120,Yes
Environmental Engineering,Civil & Environmental Engineering,3.8,297,119,No
Cybersecurity,Information Systems,3.27,320,113,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.05,315,99,No
Cybersecurity,Information Systems,3.46,302,103,No
Cybersecurity,Information Systems,3.86,331,80,No
Data Science,Information Systems,3.26,314,112,Yes
Cybersecurity,Information Systems,3.29,337,115,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.83,290,98,Yes
Human-Centered Computing,Information Systems,3.59,340,110,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.74,317,100,Yes
Data Science,Information Systems,3.34,299,107,Yes
Computer Science,Computer Science,3.77,315,114,No
Engineering Management,Engineering Management,3.99,322,93,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.7,313,89,Yes
Electrical Engineering,Electrical Engineering,3.71,320,113,No
Environmental Engineering,Civil & Environmental Engineering,3.94,328,110,Yes
Health Information Technology,Information Systems,3.64,299,93,No
Cybersecurity,Information Systems,3.37,327,119,No
Data Science,Information Systems,3.63,303,103,Yes
Data Science,Information Systems,3.82,312,115,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.87,322,100,Yes
Human-Centered Computing,Information Systems,3.61,296,117,No
Computer Engineering,Computer Science & Electrical Engineering,3.87,336,95,Yes
Computer Science,Computer Science,3.5,306,104,Yes
Electrical Engineering,Electrical Engineering,3.28,302,114,Yes
Data Science,Information Systems,3.98,329,115,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.06,328,106,Yes
Engineering Management,Engineering Management,3.25,302,107,Yes
Human-Centered Computing,Information Systems,3.92,330,118,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.02,305,102,Yes
Human-Centered Computing,Information Systems,3.78,310,115,Yes
Computer Science,Computer Science,3.82,317,108,Yes
Health Information Technology,Information Systems,3.15,313,104,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.36,306,110,Yes
Environmental Engineering,Civil & Environmental Engineering,3.79,314,111,Yes
Health Information Technology,Information Systems,3.92,313,101,Yes
Cybersecurity,Information Systems,3.96,296,111,Yes
Human-Centered Computing,Information Systems,3.84,297,116,Yes
Environmental Engineering,Civil & Environmental Engineering,3.9,310,113,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.79,339,103,No
Health Information Technology,Information Systems,3.58,314,120,Yes
Engineering Management,Engineering Management,3.51,312,115,Yes
Engineering Management,Engineering Management,3.73,336,93,Yes
Health Information Technology,Information Systems,3.58,331,96,Yes
Human-Centered Computing,Information Systems,3.91,312,114,Yes
Engineering Management,Engineering Management,3.09,295,110,Yes
Engineering Management,Engineering Management,3.35,340,87,Yes
Engineering Management,Engineering Management,3.1,301,108,Yes
Cybersecurity,Information Systems,3.38,327,113,Yes
Environmental Engineering,Civil & Environmental Engineering,3.68,332,108,No
Electrical Engineering,Electrical Engineering,3.68,340,96,Yes
Cybersecurity,Information Systems,3.7,331,116,Yes
Environmental Engineering,Civil & Environmental Engineering,3.7,312,117,Yes
Human-Centered Computing,Information Systems,3.73,299,120,Yes
Data Science,Information Systems,3.4,311,119,Yes
Data Science,Information Systems,3.99,310,119,Yes
Electrical Engineering,Electrical Engineering,3.21,316,99,Yes
Engineering Management,Engineering Management,3.4,316,112,No
Electrical Engineering,Electrical Engineering,3.66,299,97,Yes
Electrical Engineering,Electrical Engineering,3.36,294,109,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.64,340,101,Yes
Computer Science,Computer Science,3.77,320,101,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.64,290,113,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.02,338,113,Yes
Human-Centered Computing,Information Systems,3.76,335,115,Yes
Data Science,Information Systems,3.7,290,117,No
Environmental Engineering,Civil & Environmental Engineering,3.52,311,108,Yes
Data Science,Information Systems,3.96,294,91,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.47,324,99,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.99,332,90,Yes
Environmental Engineering,Civil & Environmental Engineering,3.76,303,111,Yes
Computer Science,Computer Science,3.73,304,100,No
Computer Engineering,Computer Science & Electrical Engineering,3.79,292,86,Yes
Environmental Engineering,Civil & Environmental Engineering,3.59,318,105,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.67,315,112,Yes
Computer Science,Computer Science,3.95,308,102,Yes
Environmental Engineering,Civil & Environmental Engineering,3.77,339,101,Yes
Data Science,Information Systems,3.88,315,97,Yes
Data Science,Information Systems,3.39,302,99,Yes
Engineering Management,Engineering Management,3.72,305,102,Yes
Engineering Management,Engineering Management,3.17,300,109,No
Health Information Technology,Information Systems,3.17,331,118,Yes
Computer Science,Computer Science,3.53,290,104,Yes
Electrical Engineering,Electrical Engineering,3.86,302,99,Yes
Environmental Engineering,Civil & Environmental Engineering,3.64,333,117,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.44,299,83,Yes
Engineering Management,Engineering Management,3.16,319,87,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.58,290,113,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.81,339,83,Yes
Electrical Engineering,Electrical Engineering,3.91,303,105,No
Environmental Engineering,Civil & Environmental Engineering,3.83,337,104,No
Computer Engineering,Computer Science & Electrical Engineering,3.75,305,85,Yes
Environmental Engineering,Civil & Environmental Engineering,3.5,319,111,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.12,336,94,Yes
Data Science,Information Systems,3.81,302,116,Yes
Human-Centered Computing,Information Systems,3.73,340,107,Yes
Human-Centered Computing,Information Systems,3.61,318,119,Yes
Engineering Management,Engineering Management,3.98,290,114,No
Environmental Engineering,Civil & Environmental Engineering,3.96,292,106,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.02,331,80,Yes
Computer Science,Computer Science,3.95,340,101,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.77,300,93,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.93,321,91,Yes
Cybersecurity,Information Systems,3.74,291,114,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.82,337,112,Yes
Environmental Engineering,Civil & Environmental Engineering,3.73,316,111,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.26,335,113,No
Electrical Engineering,Electrical Engineering,3.28,328,111,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.54,303,117,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.93,313,115,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.52,298,116,Yes
Computer Science,Computer Science,3.9,337,113,Yes
Health Information Technology,Information Systems,3.6,311,103,Yes
Computer Science,Computer Science,3.76,322,115,No
Data Science,Information Systems,3.96,330,107,Yes
Environmental Engineering,Civil & Environmental Engineering,3.77,312,115,No
Electrical Engineering,Electrical Engineering,3.57,330,115,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.54,297,89,Yes
Environmental Engineering,Civil & Environmental Engineering,3.83,329,114,No
Health Information Technology,Information Systems,3.2,320,111,Yes
Health Information Technology,Information Systems,3.21,298,98,Yes
Engineering Management,Engineering Management,3.29,318,83,No
Engineering Management,Engineering Management,3.2,292,99,Yes
Cybersecurity,Information Systems,3.32,333,83,Yes
Engineering Management,Engineering Management,3.07,329,97,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.92,329,118,Yes
Cybersecurity,Information Systems,3.3,305,96,Yes
Electrical Engineering,Electrical Engineering,3.29,318,106,Yes
Health Information Technology,Information Systems,3.46,304,91,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.15,292,86,Yes
Cybersecurity,Information Systems,3.89,303,108,Yes
Cybersecurity,Information Systems,3.97,303,111,No
Data Science,Information Systems,3.28,311,95,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.83,310,116,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.05,337,103,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.45,312,113,Yes
Engineering Management,Engineering Management,3.43,328,112,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.89,327,93,Yes
Human-Centered Computing,Information Systems,3.74,329,102,Yes
Cybersecurity,Information Systems,3.35,317,82,No
Computer Science,Computer Science,3.84,318,116,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.44,293,105,Yes
Data Science,Information Systems,3.52,316,96,No
Health Information Technology,Information Systems,3.42,324,112,No
Electrical Engineering,Electrical Engineering,3.24,293,119,No
Computer Science,Computer Science,3.63,335,102,No
Data Science,Information Systems,3.32,314,116,Yes
Cybersecurity,Information Systems,3.89,330,110,Yes
Engineering Management,Engineering Management,3.9,316,107,No
Data Science,Information Systems,3.8,291,114,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.24,340,105,Yes
Engineering Management,Engineering Management,3.86,292,104,Yes
Health Information Technology,Information Systems,3.72,323,94,No
Electrical Engineering,Electrical Engineering,3.95,299,112,Yes
Data Science,Information Systems,3.36,324,118,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.27,331,87,Yes
Cybersecurity,Information Systems,3.58,339,84,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.99,326,90,No
Data Science,Information Systems,3.36,323,106,No
Cybersecurity,Information Systems,3.07,316,113,Yes
Human-Centered Computing,Information Systems,3.55,336,115,No
Data Science,Information Systems,3.82,326,120,Yes
Health Information Technology,Information Systems,3.41,295,115,No
Human-Centered Computing,Information Systems,3.52,322,106,Yes
Health Information Technology,Information Systems,3.6,300,103,Yes
Computer Science,Computer Science,3.95,308,112,Yes
Cybersecurity,Information Systems,3.21,319,104,No
Computer Science,Computer Science,3.97,320,113,No
Computer Engineering,Computer Science & Electrical Engineering,3.55,333,117,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.14,329,108,Yes
Environmental Engineering,Civil & Environmental Engineering,3.95,325,119,Yes
Cybersecurity,Information Systems,3.67,333,90,Yes
Human-Centered Computing,Information Systems,3.92,301,115,Yes
Health Information Technology,Information Systems,3.34,322,95,Yes
Electrical Engineering,Electrical Engineering,3.26,309,115,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.38,329,107,Yes
Health Information Technology,Information Systems,3.9,324,102,No
Electrical Engineering,Electrical Engineering,3.35,314,96,No
Electrical Engineering,Electrical Engineering,3.71,301,97,Yes
Cybersecurity,Information Systems,3.09,339,82,Yes
Health Information Technology,Information Systems,3.1,309,108,No
Engineering Management,Engineering Management,3.82,334,112,No
Human-Centered Computing,Information Systems,3.73,335,100,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.59,311,116,Yes
Cybersecurity,Information Systems,3.93,306,100,No
Cybersecurity,Information Systems,3.4,292,114,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.52,307,120,Yes
Electrical Engineering,Electrical Engineering,3.49,327,111,Yes
Health Information Technology,Information Systems,3.39,319,104,Yes
Environmental Engineering,Civil & Environmental Engineering,3.6,292,104,Yes
Electrical Engineering,Electrical Engineering,3.44,333,113,Yes
Electrical Engineering,Electrical Engineering,3.36,309,114,Yes
Human-Centered Computing,Information Systems,3.76,334,110,Yes
Health Information Technology,Information Systems,3.9,320,114,Yes
Health Information Technology,Information Systems,3.14,323,100,Yes
Health Information Technology,Information Systems,3.67,303,105,No
Data Science,Information Systems,3.47,302,120,Yes
Engineering Management,Engineering Management,3.02,304,111,No
Environmental Engineering,Civil & Environmental Engineering,3.65,307,115,Yes
Human-Centered Computing,Information Systems,3.62,331,116,Yes
Computer Science,Computer Science,3.74,311,109,Yes
Data Science,Information Systems,3.81,322,102,Yes
Human-Centered Computing,Information Systems,3.8,335,101,Yes
Engineering Management,Engineering Management,3.46,326,104,No
Human-Centered Computing,Information Systems,3.58,338,100,No
Environmental Engineering,Civil & Environmental Engineering,3.87,325,111,Yes
Data Science,Information Systems,3.47,310,100,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.72,337,90,Yes
Environmental Engineering,Civil & Environmental Engineering,3.75,323,112,Yes
Health Information Technology,Information Systems,3.89,338,112,Yes
Human-Centered Computing,Information Systems,3.69,290,109,Yes
Engineering Management,Engineering Management,3.27,309,102,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.45,327,97,Yes
Health Information Technology,Information Systems,3.28,325,102,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.04,291,96,Yes
Electrical Engineering,Electrical Engineering,3.86,321,119,Yes
Human-Centered Computing,Information Systems,3.56,297,106,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.51,328,109,Yes
Human-Centered Computing,Information Systems,3.55,309,109,Yes
Electrical Engineering,Electrical Engineering,3.33,299,119,Yes
Electrical Engineering,Electrical Engineering,3.55,324,108,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.34,338,115,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.99,292,86,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.32,290,101,Yes
Electrical Engineering,Electrical Engineering,3.86,295,106,No
Engineering Management,Engineering Management,3.48,314,117,Yes
Human-Centered Computing,Information Systems,3.73,295,116,No
Human-Centered Computing,Information Systems,3.78,294,115,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.01,304,108,Yes
Health Information Technology,Information Systems,3.69,333,108,Yes
Electrical Engineering,Electrical Engineering,3.46,301,99,No
Human-Centered Computing,Information Systems,3.91,313,116,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.44,299,103,No
Computer Engineering,Computer Science & Electrical Engineering,3.58,302,92,Yes
Computer Science,Computer Science,3.98,313,108,Yes
Cybersecurity,Information Systems,3.31,300,117,No
Engineering Management,Engineering Management,3.37,298,110,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.85,307,82,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.88,301,97,Yes
Cybersecurity,Information Systems,3.53,298,84,Yes
Electrical Engineering,Electrical Engineering,3.51,290,100,No
Cybersecurity,Information Systems,3.32,316,89,No
Cybersecurity,Information Systems,3.49,337,108,Yes
Cybersecurity,Information Systems,3.47,326,100,Yes
Engineering Management,Engineering Management,3.12,293,117,Yes
Cybersecurity,Information Systems,3.79,309,84,Yes
Cybersecurity,Information Systems,3.7,292,89,No
Computer Science,Computer Science,3.6,326,118,Yes
Electrical Engineering,Electrical Engineering,3.22,310,108,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.47,300,99,No
Human-Centered Computing,Information Systems,3.58,327,112,Yes
Engineering Management,Engineering Management,3.27,309,89,Yes
Health Information Technology,Information Systems,3.05,325,108,Yes
Health Information Technology,Information Systems,3.71,307,113,Yes
Electrical Engineering,Electrical Engineering,3.88,308,93,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.8,330,86,Yes
Electrical Engineering,Electrical Engineering,3.92,330,120,Yes
Electrical Engineering,Electrical Engineering,3.42,326,114,Yes
Data Science,Information Systems,3.78,318,104,Yes
Electrical Engineering,Electrical Engineering,3.95,331,109,No
Cybersecurity,Information Systems,3.69,316,105,Yes
Computer Science,Computer Science,3.75,336,107,Yes
Health Information Technology,Information Systems,3.58,330,97,Yes
Human-Centered Computing,Information Systems,3.65,314,102,No
Health Information Technology,Information Systems,3.34,308,120,Yes
Computer Science,Computer Science,3.63,337,120,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.49,316,117,Yes
Electrical Engineering,Electrical Engineering,3.42,311,95,Yes
Human-Centered Computing,Information Systems,3.53,336,102,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.34,309,119,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.43,321,104,Yes
Electrical Engineering,Electrical Engineering,3.58,314,90,No
Data Science,Information Systems,3.37,333,95,No
Data Science,Information Systems,3.51,312,90,Yes
Engineering Management,Engineering Management,3.03,320,83,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.04,301,86,Yes
Data Science,Information Systems,3.41,339,96,No
Electrical Engineering,Electrical Engineering,3.73,327,100,Yes
Human-Centered Computing,Information Systems,3.65,304,106,Yes
Data Science,Information Systems,3.82,294,116,Yes
Environmental Engineering,Civil & Environmental Engineering,3.79,295,109,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.26,300,83,Yes
Engineering Management,Engineering Management,3.45,328,118,Yes
Cybersecurity,Information Systems,3.57,330,112,Yes
Electrical Engineering,Electrical Engineering,3.94,321,97,Yes
Cybersecurity,Information Systems,3.78,315,94,No
Cybersecurity,Information Systems,3.08,327,111,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.86,291,86,Yes
Environmental Engineering,Civil & Environmental Engineering,3.91,301,112,Yes
Computer Science,Computer Science,3.77,317,106,Yes
Data Science,Information Systems,3.39,300,98,No
Health Information Technology,Information Systems,3.29,293,120,Yes
Electrical Engineering,Electrical Engineering,3.96,332,106,No
Cybersecurity,Information Systems,3.78,306,96,No
Environmental Engineering,Civil & Environmental Engineering,3.71,337,119,Yes
Electrical Engineering,Electrical Engineering,3.85,321,105,No
Health Information Technology,Information Systems,3.18,338,112,No
Engineering Management,Engineering Management,3.83,303,119,Yes
Cybersecurity,Information Systems,3.91,328,83,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.9,298,108,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.56,320,103,Yes
Cybersecurity,Information Systems,3.45,293,108,Yes
Cybersecurity,Information Systems,3.14,330,116,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.43,290,94,Yes
Environmental Engineering,Civil & Environmental Engineering,3.81,339,119,No
Data Science,Information Systems,3.81,292,101,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.38,322,85,No
Cybersecurity,Information Systems,3.48,337,110,Yes
Electrical Engineering,Electrical Engineering,3.85,297,120,Yes
Human-Centered Computing,Information Systems,3.91,293,105,Yes
Data Science,Information Systems,3.22,312,94,No
Cybersecurity,Information Systems,3.0,332,90,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.58,313,87,Yes
Electrical Engineering,Electrical Engineering,3.49,302,115,Yes
Human-Centered Computing,Information Systems,3.58,325,104,No
Cybersecurity,Information Systems,3.36,291,89,No
Cybersecurity,Information Systems,3.44,330,106,No
Cybersecurity,Information Systems,3.65,315,116,No
Cybersecurity,Information Systems,3.89,307,85,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.32,339,102,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,4.0,323,110,No
Human-Centered Computing,Information Systems,3.83,311,101,Yes
Cybersecurity,Information Systems,3.1,307,112,Yes
Electrical Engineering,Electrical Engineering,3.8,304,92,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.08,290,85,Yes
Health Information Technology,Information Systems,3.57,291,116,Yes
Health Information Technology,Information Systems,3.73,302,110,Yes
Environmental Engineering,Civil & Environmental Engineering,3.6,327,120,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.61,295,120,Yes
Engineering Management,Engineering Management,3.35,305,102,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.11,337,88,No
Cybersecurity,Information Systems,3.19,307,91,Yes
Environmental Engineering,Civil & Environmental Engineering,3.74,320,120,No
Computer Engineering,Computer Science & Electrical Engineering,3.52,340,101,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.57,304,89,Yes
Electrical Engineering,Electrical Engineering,3.31,327,94,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.21,326,102,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.99,323,90,No
Health Information Technology,Information Systems,3.81,329,101,No
Computer Science,Computer Science,3.82,308,114,Yes
Health Information Technology,Information Systems,3.14,325,113,Yes
Health Information Technology,Information Systems,3.21,303,118,No
Electrical Engineering,Electrical Engineering,3.27,331,110,No
Computer Science,Computer Science,3.61,299,100,No
Health Information Technology,Information Systems,3.61,333,94,Yes
Health Information Technology,Information Systems,3.97,330,92,Yes
Computer Science,Computer Science,3.97,313,110,Yes
Data Science,Information Systems,3.69,335,95,No
Engineering Management,Engineering Management,3.51,334,116,Yes
Health Information Technology,Information Systems,3.54,308,92,Yes
Cybersecurity,Information Systems,3.07,308,104,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.27,302,108,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.84,339,105,No
Data Science,Information Systems,3.93,302,105,Yes
Cybersecurity,Information Systems,3.73,338,119,Yes
Computer Science,Computer Science,3.84,327,117,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.85,328,96,Yes
Electrical Engineering,Electrical Engineering,3.69,318,107,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.63,294,88,No
Environmental Engineering,Civil & Environmental Engineering,3.61,339,116,No
Electrical Engineering,Electrical Engineering,3.94,333,103,Yes
Data Science,Information Systems,3.56,322,118,Yes
Environmental Engineering,Civil & Environmental Engineering,3.83,319,106,Yes
Human-Centered Computing,Information Systems,3.99,327,118,Yes
Human-Centered Computing,Information Systems,3.84,314,104,Yes
Environmental Engineering,Civil & Environmental Engineering,3.93,295,106,No
Data Science,Information Systems,3.44,290,92,Yes
Health Information Technology,Information Systems,3.58,323,110,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.22,317,116,No
Electrical Engineering,Electrical Engineering,3.36,292,112,Yes
Engineering Management,Engineering Management,3.94,334,83,Yes
Computer Science,Computer Science,3.75,312,115,No
Cybersecurity,Information Systems,3.88,327,110,Yes
Cybersecurity,Information Systems,3.01,303,115,No
Data Science,Information Systems,3.97,297,116,No
Environmental Engineering,Civil & Environmental Engineering,3.79,325,116,No
Engineering Management,Engineering Management,3.37,295,111,Yes
Electrical Engineering,Electrical Engineering,3.88,337,102,Yes
Environmental Engineering,Civil & Environmental Engineering,3.78,327,108,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.59,309,113,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.74,311,110,Yes
Computer Science,Computer Science,3.51,329,111,Yes
Health Information Technology,Information Systems,3.91,309,111,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.42,302,95,Yes
Human-Centered Computing,Information Systems,3.56,333,119,Yes
Computer Science,Computer Science,3.51,332,113,No
Engineering Management,Engineering Management,3.63,306,115,No
Data Science,Information Systems,3.32,337,108,Yes
Human-Centered Computing,Information Systems,3.8,297,113,No
Environmental Engineering,Civil & Environmental Engineering,3.53,300,111,No
Computer Engineering,Computer Science & Electrical Engineering,3.94,337,86,Yes
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.99,319,113,Yes
Engineering Management,Engineering Management,3.67,303,93,Yes
Engineering Management,Engineering Management,3.37,317,91,Yes
Engineering Management,Engineering Management,3.06,324,116,No
Data Science,Information Systems,3.79,291,91,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.55,290,106,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.21,296,83,Yes
Health Information Technology,Information Systems,4.0,339,93,No
Computer Science,Computer Science,3.89,322,111,No
Chemical & Biochemical Engineering,Chemical & Biochemical Engineering,3.61,320,120,Yes
Computer Engineering,Computer Science & Electrical Engineering,3.9,312,107,Yes
Data Science,Information Systems,3.93,320,106,Yes
Engineering Management,Engineering Management,3.27,311,118,Yes
Engineering Management,Engineering Management,3.54,290,109,Yes
Health Information Technology,Information Systems,3.74,326,97,Yes
Cybersecurity,Information Systems,3.99,294,94,No
Engineering Management,Engineering Management,3.97,308,88,Yes
Engineering Management,Engineering Management,3.35,312,112,Yes
Health Information Technology,Information Systems,3.88,329,100,Yes
Health Information Technology,Information Systems,3.13,324,91,No
Cybersecurity,Information Systems,3.11,295,82,No
Computer Science,Computer Science,3.65,313,103,Yes
Engineering Management,Engineering Management,3.91,315,97,Yes
Engineering Management,Engineering Management,3.67,340,81,Yes
Data Science,Information Systems,3.74,307,108,Yes
